Song Name,Author,Classname
Durch den Monsun,Tokio Hotel,loneliness
Edibles,LX,selfdetermination
Up From the Bottom,Linkin Park,loneliness
Shot in the Dark,Within Temptation,loneliness
Closer To The Edge,Thirty Seconds To Mars,selfdetermination
Best Day,Electric Callboy,perseverance
Heart Attack,Demi Lovato,heartbroken
Last Night,Our Last Night,heartbroken
Falterblau,Ezet,lovemaking
Sonne Geht Auf,Klangkünstler,party
Elastic Heart - Rock Version,Written by Wolves,perseverance
In the Shadows,The Rasmus,loneliness
My Immortal - Band Version,Evanescence,heartbroken
Nothing Else Matters,Metallica,selfdetermination
After the Rain,Unlike Pluto,loneliness
Trouble,YBRE,lovemaking
Altes Fieber,Die Toten Hosen,selfdetermination
Little Bit Love,Sunrise Avenue,lovemaking
Zuhause // Daheim,JBS,lovemaking
WONDERFUL LIFE,Luciano,party
Chasing Love,Danimal,party
Kool-Aid,Bring Me The Horizon,aggressive
This Is What It Feels Like - Armin vna Buuren 2023 Remix,Armin van Buuren,loneliness
SCHNAPS.,Zensery,aggressive
Say Nothing,Citizen Soldier,heartbroken
Psycho,Asking Alexandria,aggressive
MONEY ON THE DASH,Elley Duhé,party
Refuse To Speak,Sub Zero Project,loneliness
Heavy Is the Crown,Linkin Park,aggressive
For Whom The Ball Tolls - Remastered,Metallica,aggressive
Mittelmeer,Pashanim,heartbroken
Sin So Sweet,Warren Zeiders,lovemaking
Alles ist relativ,BIG TIM,party
10 Sekunden,JBS,heartbroken
Master Of Puppets,Metallica,aggressive
Hole In Your Head,Ekoh,aggressive
Unerlaubtes Fahren,Gzuz,aggressive
Poison,Phix,perseverance
I WISH,Ryan Oakes,aggressive
Somewhere Only We Know,Keane,loneliness
Cinnamon Roll,Bonez MC,party
War of Change,Nick Eyra,aggressive
Never Too Late,Onlap,perseverance
Save Yourself,My Darkest Days,heartbroken
Our Church,Headhunterz,perseverance
Motionless,Colorblind,loneliness
Hurt Myself,Ekoh,loneliness
All Night,RAF Camora,lovemaking
lux aeterna,Metallica,selfdetermination
Spine,Spektrem,perseverance
Extasy,187 Strassenbande,party
HAPPY END,PRECEDE,aggressive
Wie weit,MilleniumKid,loneliness
fury,STIM,aggressive
THEY DON'T WANNA KNOW (feat. Sueco),lil aaron,loneliness
Out Of The Dark,RAF Camora,selfdetermination
Loss,Memorist,heartbroken
Leave a Light On,Belinda Carlisle,lovemaking
She's,Fevercast,lovemaking
Really,Lurcy & Suena,party
All the Things I Hate About You,Huddy,aggressive
Unite (Defqon.1 Anthem 2011) - Original Mix,Noisecontrollers,party
When The Stars Connect In Space,Adaro,perseverance
Wenn Ich Ehrlich Bin,Liaze,loneliness
Lullaby,BENNETT,party
Over Each Other,Linkin Park,heartbroken
greedy,Out Last Night,heartbroken
auf alles!,Bonez MC,aggressive
Shadows Follow,Metallica,aggressive
How I Fell in Love,SH4YN,lovemaking
Dreams,Points of Conception,selfdetermination
Mindreader,Electric Callboy,heartbroken
Doktor,PA Sports,loneliness
Leave It All Behind,Deadcode,loneliness
Complicated,DONDON,heartbroken
2L8 UNDEAD,Ryan Oakes,heartbroken
2003,Liaze,perseverance
Jeden Tag,JBS,loneliness
Wenn ich dich vermiss,Nael,heartbroken
Problemboy,DONDON,lovemaking
Von Party zu Party,SXTN,party
harder to lie.,elijah,heartbroken
Tanzen (mit Handschellen),Bonez MC,aggressive
angst.,Tiavo,loneliness
Deine Mutter,SXTN,party
Innerlich Leer,ENQEZ,heartbroken
Ohne mein Team,Bonez MC,party
"Wenn du mich lässt (aus ""Sing meinen Song, vol.10"")",Montez,heartbroken
Up ON A Hill,Point North,aggressive
Loved You A Little (with Taking Back Sunday and Charlotte Sands),The Maine,heartbroken
Nebel,ART,selfdetermination
Für die Strasse,Bonez MC,perseverance
Hate/Love,Electric Callboy,heartbroken
alive (it's a lie) - demo,Kyle Hume,heartbroken
Kingslayer (feat. BABYMETAL),Bring Me The Horizon,aggressive
Last Goodbye,Dead by April,heartbroken
Gedanken kreisen überm Bett,nasskalt.,heartbroken
Psycho,Point North,loneliness
MC Thunder II(Dancing Like a Ninja),Electric Callboy,party
Into The Dark (feat. Kellin Quinn),Point North,loneliness
Lass uns feiern - RMX,K.I.Z,party
Six Feet Under - Acoustic,Smash Into Pieces,loneliness
Distrack an die Welt 3,MiZeb,perseverance
Ich hass dich,Nina Chuba,selfdetermination
Fight For You,D-Block & S-te-Fan,selfdetermination
Unendlichkeit,MilleniumKid,perseverance
Blaues Lich,RAF Camora,selfdetermination
Daydream - Skit,ART,aggressive
HAUNTED,Isabel LaRose,loneliness
City Lights,Rebelion,loneliness
Gorilla,Tarek K.I.Z,aggressive
When The Beat Drops Out,Marlon Roudette,party
Push Of The Warrior (Defqon.1 2023 Anthem),Sub Zero Project,party
Bei Nacht,RAF Camora,selfdetermination
Ein Affe und ein Pferd,K.I.Z,selfdetermination
2 Fat 2 Furious,Electric Callboy,party
Filmriss,K.I.Z,aggressive
Lost,Bring Me The Horizon,loneliness
Tekkno Train,Electric Callboy,party
Ich könnte deine Mutter oder deine Schwester sein,K.I.Z,selfdetermination
Wenn du mich siehst,RAF Camora,heartbroken
In seiner Mutter,K.I.Z,aggressive
Winter,Montez,heartbroken
Nie Mein Shawty,Romero,lovemaking
WKND!,Brennan Heart,party
Weltraum,Tarek K.I.Z,aggressive
Immortals,Mqx,loneliness
Wasteland,Dead by April,loneliness
Rap über Hass,K.I.Z,aggressive
New Reality,The Word Alive,loneliness
Summertime,Kontra K,lovemaking
Selbstjustiz,K.I.Z,aggressive
Palmen aus Plastik,Bonez MC,selfdetermination
Do Or Die,Magnolia Park,aggressive
Nightmare,From Ashes to New,heartbroken
Ich ficke euch (alle),K.I.Z,aggressive
Left Behind,The Plot In You,heartbroken
Sommer in Berlin,Gabriel,lovemaking
Walpurgisnacht,K.I.Z,aggressive
New Divide,Linkin Park,heartbroken
Ultraviolett,METRICKZ,selfdetermination
Never Back Down,Rebelion,perseverance
Halb 4,neji.mp3,heartbroken
Pirouetten,Helsynki,heartbroken
Wicked Game,Marcus & Martinus,perseverance
Forever,Cozy,heartbroken
Vielleicht Vielleicht,MilleniumKid,heartbroken
Urlaub fürs Gehirn,K.I.Z,aggressive
Illusions,Sub Zero Project,party
Dumm & Glücklich,RAF 3.0,selfdetermination
Wieso fickst du meinen Kopf?,Pink Katana,heartbroken
Heaven Without You,KID BRUNSWICK,heartbroken
Tränen,DUNKL,loneliness
In Loving Memory,First and Forever,heartbroken
Sturkopf (mit ner Glock),Bonez MC,aggressive
MC Thunder,Electric Callboy,party
Blumen wachsen durch Beton,Sharaktah,loneliness
Chemical,Our Last Night,lovemaking
Rubinroter Wein,ART,lovemaking
NUMB,Ryan Oakes,loneliness
Papa ist in Hollywood,Bonez MC,perseverance
